ResponseID	start	end	entrez	blast	nucleotide	variation	genome.browsers	protein.3D	transcriptome	pipelines	alignment	phylo	scripting	pub.access	training.workshops	training.lecture	training.individual	training.group	training.online	training.webinar	training.na	freq.physical	freq.personnel	freq.online	position	college	department	ua.time	dna	rna	proteins	microarray	ngs	qpcr	nih	nsf	pmc	gds
R_0Mwha6lbMDiE1EN	2015-12-15 13:08:36	2015-12-15 13:14:24	4	3	3	4	4	1	5	4	2	2	1	3	1	0	0	1	1	0	0	1	2	5	1	Medicine	CMM	22	1	1	0	0	0	0	1	0	1	1
R_0UodLy7sk0SNf9z	2015-12-11 15:07:08	2015-12-14 13:41:12	1	1	1	1	3	1	4	4	2	2	5	4	1	1	1	1	1	1	0	1	1	1	4	Medicine	Immunobiology	4.5	0	1	1	0	1	0	1	0	1	1
R_1ewsj1z5KzlshDm	2015-11-17 12:43:45	2015-11-17 12:47:26	5	5	5	5	5	4	5	5	5	4	5	5	1	1	1	1	1	1	0	5	5	5	4	Medicine	Immunobiology	1	1	1	0	1	1	1	1	0	3	2
R_1F3uHUJjXyTuRRl	2015-12-01 10:36:59	2015-12-01 10:40:23	3	4	4	2	2	2	2	2	3	2	2	3	1	0	0	1	0	0	0	2	3	5	1	Public Health	Community Environment & Policy	18	1	0	0	0	1	1	1	0	1	2
R_1gBmyR3SgFAvRcg	2015-11-17 09:52:40	2015-11-17 10:07:10	2	2	2	4	4	3	5	5	4	3	5	3	1	1	1	0	1	0	0	2	1	4	4	Medicine	CMM	4	1	1	0	1	1	1	0	0	3	3
R_1GCjMO5pZH9RYDh	2015-12-14 11:57:21	2015-12-14 12:01:49	4	3	1	3	3	3	3	3	3	3	3	3	1	0	0	1	1	0	0	1	1	5	4				0	0	0	0	0	0	0	0	1	3
R_1gcpD0xF3jrhSas	2015-12-01 09:46:39	2015-12-01 09:51:29	3	4	3	5	2	5	2	2	3	1	1	1	1	1	0	1	0	0	0	2	1	5	4	Science	Physiological Sciences	9	1	1	1	0	0	1	1	0	1	3
R_1i4cZE9vmwPNk8J	2015-11-18 17:50:16	2015-11-18 18:00:12	5	2	4	5	5	2	5	5	4	1	5	1	0	0	1	0	0	0	0	2	2	5	1	Medicine	Medicine	1	1	1	0	1	1	1	1	1	1	1
R_1IsHrQY1aGabgC5	2015-11-17 10:09:32	2015-11-17 10:13:45	3	3	3	3	3	4	4	3	3	3	2	2	1	1	0	0	0	0	0	2	2	1	1	Medicine	Physiology	18	1	1	1	0	0	0	1	1	1	1
R_1LNay3ALFrPS2hV	2015-11-17 09:40:37	2015-11-17 10:04:49	5	1	1	1	1	1	1	1	1	1	1	5	1	1	0	0	1	0	0	1	1	5	1	Medicine	Physiology	7	0	0	0	0	0	0	1	0	1	3
